Stock exchange,MIC,Region,City,Market cap (USD tn),Monthly trade volume (USD bn),Time zone,Δ ,DST,Open hours (local time) Open, Open hours (local time) Close , Open hours (local time) Lunch  ,UTC(without DST) Open,UTC(without DST) Close
New York Stock Exchange ,XNYS, United States,New York City ,44.7[4] ,2.685,EST/EDT ,−5:00 ,Mar–Nov,09:30 ,16:00 ,No,14:30,21:00
Nasdaq (US),XNYS, United States,New York City, 42.2[5],2.727,EST/EDT ,−5:00 ,na,09:30 ,16:00 ,11:30–13:00,14:30,21:00
Shanghai Stock Exchange,XSHG,China,Shanghai,9.72[6] ,1.906,CST ,+8:00,na,09:30 ,15:00 ,11:30–13:00,01:30 ,07:00
Japan Exchange Group (Tokyo Stock Exchange),XJPX (TYO),Japan,Tokyo,7.95[7],652,JST,+9:00 ,na,09:00 ,15:00 ,11:30–12:30 ,00:00 ,06:00
Euronext,XAMS, Europe ,Amsterdam,7.45[8] ,186,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,17:30 ,na,08:00 ,16:30
Euronext,XBRU, Europe ,Brussels,7.45[8] ,186,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,17:30 ,na,08:00 ,16:30
Euronext,XMSM, Europe ,Dublin,7.45[8] ,186,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,17:30 ,na,08:00 ,16:30
Euronext,XLIS, Europe ,Lisbon,7.45[8] ,186,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,17:30 ,na,08:00 ,16:30
Euronext,XMIL, Europe ,Milan,7.45[8] ,186,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,17:30 ,na,08:00 ,16:30
Euronext,XOSL, Europe ,Oslo,7.45[8] ,186,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,17:30 ,na,08:00 ,16:30
Euronext,XPAR , Europe ,Paris ,7.45[8] ,186,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,17:30 ,na,08:00 ,16:30
Shenzhen Stock Exchange ,XSHE , China ,Shenzhen ,6.66[9] ,2888,CST ,+8:00 ,na,09:30 ,15:00 ,11:30–13:00 ,01:30 ,07:00
Hong Kong Stock Exchange ,XHKG , Hong Kong,Hong Kong ,6.2[10] ,762,HKT ,+8:00 ,na,09:30 ,16:00 ,12:00–13:00 ,01:30 ,08:00
Bombay Stock Exchange ,XBOM ,India,Mumbai ,5.25[11] ,501,IST ,+5:30 ,na,09:15 ,15:30 ,na,03:45 ,10:00
National Stock Exchange ,XNSE ,India,Mumbai ,5.32[12] ,294,IST ,+5:30 ,na,09:15 ,15:30 ,na,03:45 ,10:00
Toronto Stock Exchange,XTSE , Canada ,Toronto ,4.6[13] ,206,EST/EDT ,−5:00 ,Mar–Nov ,16:00 ,na,14:30 ,21:00,na
Taiwan Stock Exchange ,XTAI, Taiwan,Taipei ,4.13,222,NST (Taiwan) ,+8:00 ,na,13:30 ,01:00 ,05:30,na,na
London Stock Exchange,XLON ,United Kingdom,London ,4.1[14] ,219,GMT/BST ,+0:00 ,Mar–Oct ,08:00 ,16:30 ,08:00 ,16:30,na
Korea Exchange,XKOS ,South Korea ,Seoul,3.7,204,KST ,+9:00 ,na,09:00 ,09:00 ,15:30 ,00:00 ,06:30
Korea Exchange,XKOS ,South Korea ,Busan ,3.7,204,KST ,+9:00 ,na,09:00 ,09:00 ,15:30 ,00:00 ,06:30
German Stock Exchange (Deutsche Börse AG),XFRA ,Germany ,Frankfurt ,3.15,77,CET/CEST ,+1:00 ,Mar–Oct ,09:00 ,08:00 (Eurex) 08:00 (floor) 09:00 (Xetra) , 22:00 (Eurex) 20:00 (floor) 17:30 (Xetra) ,07:00 ,21:00
Saudi Exchange ,XSAU , Saudi Arabia ,Riyadh ,2.55,32,AST ,+3:00 ,,10:00 ,15:00 ,07:00 ,12:00,na
SIX Swiss Exchange ,XSWX ,  Switzerland ,Zürich ,1.97,54,CET/CEST ,+1:00 ,Mar–Oct ,08:00 ,17:30 ,07:00 ,16:30,na
Australian Securities Exchange ,XASX , Australia ,Sydney ,1.89,91,AEST/AEDT ,+10:00 ,Oct–Apr ,10:00 ,16:00 ,00:00 ,06:00,na
Nasdaq Nordic and Baltic Exchanges ,XCSE, Europe ,Copenhagen,1.79,47,EET/EEST ,+2:00 ,Mar–Oct ,10:00 ,na,18:30 ,08:00 ,16:30
Nasdaq Nordic and Baltic Exchanges ,XSTO, Europe ,Stockholm,1.79,47,EET/EEST ,+2:00 ,Mar–Oct ,10:00 ,na,18:30 ,08:00 ,16:30
Nasdaq Nordic and Baltic Exchanges ,XHEL, Europe ,Helsinki,1.79,47,EET/EEST ,+2:00 ,Mar–Oct ,10:00 ,na,18:30 ,08:00 ,16:30
Nasdaq Nordic and Baltic Exchanges ,XTAL, Europe ,Tallinn,1.79,47,EET/EEST ,+2:00 ,Mar–Oct ,10:00 ,na,18:30 ,08:00 ,16:30
Nasdaq Nordic and Baltic Exchanges ,XRIS, Europe ,Riga,1.79,47,EET/EEST ,+2:00 ,Mar–Oct ,10:00 ,na,18:30 ,08:00 ,16:30
Nasdaq Nordic and Baltic Exchanges ,XLIT, Europe ,Vilnius,1.79,47,EET/EEST ,+2:00 ,Mar–Oct ,10:00 ,na,18:30 ,08:00 ,16:30
Nasdaq Nordic and Baltic Exchanges ,XICE , Europe ,Reykjavík,1.79,47,EET/EEST ,+2:00 ,Mar–Oct ,10:00 ,na,18:30 ,08:00 ,16:30
Johannesburg Stock Exchange ,XJSE , South Africa ,Johannesburg ,1.15,60,SAST ,+2:00 ,,09:00 ,16:50 ,No ,07:00 ,14:50
B3 (stock exchange) ,BVMF ,Brazil ,São Paulo ,1.01[15] ,30,BRT ,-3:00 ,,10:00 ,18:30 ,No ,13:00 ,21:30 
